Journal Name,Category & Journal Quartiles
TRENDS IN ECOLOGY & EVOLUTION,Q1
Science Bulletin,Q1
Travel Medicine and Infectious Disease,Q1
Nature Food,Q1
Light-Science & Applications,Q1
Journal of Thoracic Oncology,Q1
Matter,Q1
ADVANCED FUNCTIONAL MATERIALS,Q1
Nature Metabolism,Q1
PhotoniX,Q1
Annual Review of Biophysics,Q1
TRENDS IN IMMUNOLOGY,Q1
"PROGRESS IN RETINAL AND EYE
RESEARCH",Q1
Nature Physics,Q1
Emerging Microbes & Infections,Q1
Applied Physics Reviews,Q1
JOURNAL OF CLINICAL INVESTIGATION,Q1
CRITICAL CARE,Q1
MOLECULAR CELL,Q1
Science Translational Medicine,Q1
AMERICAN JOURNAL OF PSYCHIATRY,Q1
Academy of Management Annals,Q1
BRAIN BEHAVIOR AND IMMUNITY,Q1
Trends in Cancer,Q1
NUCLEIC ACIDS RESEARCH,Q1
IEEE Transactions on Cybernetics,Q1
,Q4
ACM Transactions on Storage,Q4
Diving and Hyperbaric Medicine,Q4
General Thoracic and Cardiovascular,Q4
Surgery,Q4
ANIMAL BIOLOGY,Q3
INTERNATIONAL INTERACTIONS,Q3
Holistic Nursing Practice,Q4
JOURNAL OF OBSTETRICS AND GYNAECOLOGY,Q4
Iranian Journal of Veterinary Research,Q3
EAST EUROPEAN POLITICS AND SOCIETIES,Q2
Electronic Journal of Statistics,Q3
JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,Q3
AUSTRALIAN JOURNAL OF CHEMISTRY,Q4
ICHTHYOLOGICAL RESEARCH,Q3
Seminars in Vascular Surgery,Q4
Wound Management & Prevention,Q4
JOURNAL OF APPLIED ICHTHYOLOGY,Q4
Biodemography and Social Biology,Q3
ZEITSCHRIFT FUR ANALYSIS UND IHRE,Q2
ANWENDUNGEN,Q3
Law & Policy,Q3
AERONAUTICAL JOURNAL,Q4
Journal of Arthropod-Borne Diseases,Q4
Miskolc Mathematical Notes,Q2
"Revista Brasileira de Engenharia Agricola
e Ambiental",Q4
URSUS,Q3
"Review of Keynesian Economics
Mathematics and Financial Economics",Q4
BULLETIN OF THE CHEMICAL SOCIETY OF ETHIOPIA,Q4
Pediatric Endocrinology Reviews PER,Q4
JOURNAL OF SHELLFISH RESEARCH,Q4
"JOURNAL OF GENERAL PLANT
PATHOLOGY",Q4
Advances in Cognitive Psychology,Q4
Iranian Journal of Parasitology,Q4
Revista de Educacion,Q4
Cancer Radiotherapie,Q4
"JOURNAL OF THE CERAMIC SOCIETY OF
JAPAN",Q3
"European Journal of Industrial
Engineering",Q4
CRYPTOGAMIE ALGOLOGIE,Q4
Ensenanza de Las Ciencias,Q4
Journal of Sexual Aggression,Q4
Ginekologia Polska,Q4
"INTERNATIONAL REVIEW OF LAW AND
ECONOMICS",Q3
"Brazilian Journal of Pharmaceutical
Sciences",Q4
"SADHANA-ACADEMY PROCEEDINGS IN
ENGINEERING SCIENCES",Q4
Hepatitis Monthly,Q4
"ELECTRONIC TRANSACTIONS ON
NUMERICAL ANALYSIS",Q3
International Journal of Psychological Research,Q4
CONTEMPORARY ECONOMIC POLICY,Q4
ARCTIC ANTHROPOLOGY,Q3
COMBINATORICS PROBABILITY & COMPUTING,Q2
Australian Journal of Forensic Sciences Random Matrices-Theory and Applications,Q4
"CHELONIAN CONSERVATION AND
BIOLOGY",Q3
Journal of Rubber Research,Q4
"Nordic Psychology
Journal of Contemporary European Studies",Q4
JOURNAL OF TIME SERIES ANALYSIS,Q3
Iranian Journal of Immunology,Q4
Australian Journal of Advanced Nursing,Q4
Erwerbs-Obstbau,Q3
Early Child Development and Care,Q4
CELLULAR AND MOLECULAR BIOLOGY,Q4
INTERNATIONAL JOURNAL OF ACAROLOGY,Q3
ACTA ZOOLOGICA,Q3
Austral Entomology,Q3
TECHNOLOGY AND HEALTH CARE,Q4
China Perspectives,Q2
"Journal of Bioinformatics and
Computational Biology",Q4
"EUROPEAN REVIEW OF APPLIED PSYCHOLOGY-REVUE EUROPEENNE DE
PSYCHOLOGIE APPLIQUEE",Q4
GEOGRAFISKA ANNALER SERIES A- PHYSICAL GEOGRAPHY,Q3
International Finance,Q4
ELECTRONICS LETTERS,Q4
Gravitation & Cosmology,Q4
JOURNAL OF ETHOLOGY,Q3
"AMERICAN JOURNAL OF MEDICAL
QUALITY",Q4
Society-An International Journal,Q2
CONCEPTS IN MAGNETIC RESONANCE PART B-MAGNETIC RESONANCE ENGINEERING,Q4
Journal of Forensic Nursing,Q4
HEC Forum,Q3
GESUNDHEITSWESEN,Q4
MATHEMATISCHE NACHRICHTEN,Q2
"International Journal of Aerospace
Engineering",Q4
HAUTARZT,Q4
RAFFLES BULLETIN OF ZOOLOGY,Q3
"RBGN-Revista Brasileira de Gestao de
Negocios",Q4
MAMMALIA,Q3
Banach Journal of Mathematical Analysis,Q2
"ARDEA
PHILOSOPHICAL MAGAZINE LETTERS",Q2
FOLIA MORPHOLOGICA,Q4
HERPETOLOGICAL JOURNAL,Q3
JOURNAL FRANCAIS D OPHTALMOLOGIE,Q4
ASTRONOMY LETTERS-A JOURNAL OF ASTRONOMY AND SPACE ASTROPHYSICS,Q4
QUANTUM ELECTRONICS,Q4
NURSING ECONOMICS,Q4
JOURNAL OF SOCIAL SERVICE RESEARCH,Q4
"CHINESE JOURNAL OF ANALYTICAL
CHEMISTRY",Q4
HORTICULTURAL SCIENCE,Q3
"INTERNATIONAL JOURNAL OF CAST
METALS RESEARCH",Q3
High Energy Density Physics,Q4
EDUCATION AND URBAN SOCIETY,Q4
History of the Family,Q2
JOURNAL OF EDUCATIONAL,Q4
MEASUREMENT,Q4
"JOURNAL OF ADOLESCENT & ADULT
LITERACY",Q4
"SOZIALE WELT-ZEITSCHRIFT FUR SOZIALWISSENSCHAFTLICHE FORSCHUNG
UND PRAXIS",Q4
COMPOST SCIENCE & UTILIZATION,Q4
Ethics & International Affairs,Q3
VERHALTENSTHERAPIE,Q4
WISCONSIN LAW REVIEW,Q3
ANTHROPOLOGICAL SCIENCE,Q4
Advances in Applied Clifford Algebras,Q3
"ACTA BIOTHEORETICA
Acta Crystallographica Section C- Structural Chemistry",Q4
ORGANIC PREPARATIONS AND PROCEDURES INTERNATIONAL,Q4
SOCIAL BEHAVIOR AND PERSONALITY,Q4
Comparative Cytogenetics,Q3
Milan Journal of Mathematics,Q2
Structural Engineering International,Q4
Advances in Anatomy Embryology and,Q4
Cell Biology,Q4
"VITIS
DISCRETE EVENT DYNAMIC SYSTEMS-",Q3
THEORY AND APPLICATIONS,Q4
"ANNALS OF CLINICAL AND LABORATORY
SCIENCE",Q4
ARCHIVES OF MECHANICS,Q4
EUROPE-ASIA STUDIES,Q2
"BRAZILIAN ARCHIVES OF BIOLOGY AND
TECHNOLOGY",Q4
"ANNALS OF THE INSTITUTE OF
STATISTICAL MATHEMATICS",Q3
"GLOBAL GOVERNANCE
NEW GENERATION COMPUTING",Q4
JOURNAL OF SOCIAL WORK PRACTICE,Q4
Journal of Ocean University of China,Q4
Journal of Nanophotonics,Q4
LINEAR & MULTILINEAR ALGEBRA,Q2
BRYOLOGIST,Q4
AUSTRALIAN MAMMALOGY,Q3
HELMINTHOLOGIA,Q3
Journal of Competition Law & Economics,Q3
"DEUTSCHE ENTOMOLOGISCHE
ZEITSCHRIFT",Q3
Statistical Methods and Applications,Q3
JOURNAL OF AFRICAN ECONOMIES,Q4
OPHTHALMOLOGE,Q4
Biomedica,Q4
OPEN ECONOMIES REVIEW,Q4
ASTRONOMY REPORTS,Q4
Selecta Mathematica-New Series,Q2
JOURNAL OF CRANIOFACIAL SURGERY,Q4
AUSTRALIAN FEMINIST STUDIES,Q3
State Politics & Policy Quarterly,Q4
International Journal of Law in Context,Q3
Computer Science and Information Systems,Q4
JOURNAL OF PEDIATRIC HEMATOLOGY,Q4
ONCOLOGY,Q4
CURRENT SCIENCE,Q3
Nutricion Hospitalaria,Q4
International Food Research Journal,Q4
INFORMS Journal on Applied Analytics,Q4
Evolution Equations and Control Theory,Q2
"EUROPEAN PHYSICAL JOURNAL-APPLIED
PHYSICS",Q4
BIRD STUDY,Q2
CULTURE & PSYCHOLOGY,Q4
"OCEANIA
INTEGRAL TRANSFORMS AND SPECIAL FUNCTIONS",Q3
INVERTEBRATE REPRODUCTION & DEVELOPMENT,Q3
Journal of Micro-Nanolithography MEMS,Q4
and MOEMS,Q4
FORESTRY CHRONICLE,Q3
FOLIA BIOLOGICA,Q4
"Archives of Disease in Childhood-
Education and Practice Edition",Q4
"Zeitschrift der Deutschen Gesellschaft fur
Geowissenschaften",Q4
FUNDAMENTA INFORMATICAE,Q3
RICERCHE DI MATEMATICA,Q2
PEDIATRIC NEUROSURGERY,Q4
Zeitschrift fur Erziehungswissenschaft,Q4
Journal of Disability Policy Studies,Q4
JAVNOST-THE PUBLIC,Q4
International Politics,Q4
"JOURNAL OF NONLINEAR
MATHEMATICAL PHYSICS",Q3
"COMMUNICATIONS IN STATISTICS-
SIMULATION AND COMPUTATION",Q3
"University Politehnica of Bucharest
Scientific Bulletin-Series A-Applied",Q3
Mathematics and Physics,Q4
AMERICAN JOURNAL OF FAMILY THERAPY,Q4
Gastroenterology Nursing,Q4
Science China-Mathematics,Q2
SURVEY REVIEW,Q4
"Integrative Psychological and Behavioral
Science",Q4
"FORDHAM LAW REVIEW
NATURAL LANGUAGE & LINGUISTIC THEORY",Q3
"JOURNAL OF THE AUDIO ENGINEERING
SOCIETY",Q4
"Computational Methods and Function
Theory",Q2
"Revista Espanola de Derecho
Constitucional",Q3
"JOURNAL OF VETERINARY DENTISTRY
Central European Journal of Public Health",Q3
ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCE,Q3
JOURNAL OF BIOMEDICAL INFORMATICS,Q1
AMERICAN JOURNAL OF GERIATRIC,Q1
PSYCHIATRY,Q1
Translational Psychiatry,Q1
"CAAI Transactions on Intelligence
Technology",Q1
"Journal of Environmental Chemical
Engineering",Q1
"American Economic Journal-Applied
Economics",Q1
"SURVEYS IN GEOPHYSICS
Current Opinion in Environmental Sustainability",Q1
Implementation Science,Q1
PLANT CELL AND ENVIRONMENT,Q1
JOURNAL OF THE AMERICAN MEDICAL,Q1
INFORMATICS ASSOCIATION,Q1
Journal of Tissue Engineering,Q1
PAIN,Q1
"PROCESS SAFETY AND ENVIRONMENTAL
PROTECTION",Q1
Nanophotonics,Q1
Cancer Nanotechnology,Q1
Annual Review of Statistics and Its Application,Q1
JOURNAL OF FINANCE,Q1
"BROOKINGS PAPERS ON ECONOMIC
ACTIVITY",Q1
"Reviews of Environmental Contamination
and Toxicology",Q1
Biomedical Journal,Q1
"SEPARATION AND PURIFICATION
REVIEWS",Q1
Journal of Business Logistics,Q1
Epilepsy Currents,Q1
CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,Q1
ADVANCED ENGINEERING INFORMATICS,Q1
IEEE-CAA Journal of Automatica Sinica,Q1
ACADEMIC MEDICINE,Q1
REVIEW OF ECONOMIC STUDIES,Q1
Review of International Organizations,Q1
Agronomy for Sustainable Development,Q1
Cell Reports Physical Science,Q1
JOURNAL OF ADOLESCENT HEALTH,Q1
LONG RANGE PLANNING,Q1
SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS,Q1
Epidemiology and Psychiatric Sciences,Q1
STRATEGIC MANAGEMENT JOURNAL,Q1
ENGINEERING APPLICATIONS OF,Q1
ARTIFICIAL INTELLIGENCE,Q1
"Journal of the American Medical
Directors Association",Q1
"mBio
CURRENT OPINION IN STRUCTURAL BIOLOGY",Q1
Soft Robotics,Q1
"Inorganic Chemistry Frontiers
COMPUTATIONAL LINGUISTICS",Q1
HISTOPATHOLOGY,Q1
Journal of Behavioral Addictions,Q1
INFORMATION SYSTEMS JOURNAL,Q1
Weather and Climate Extremes,Q1
JOURNAL OF INFECTIOUS DISEASES,Q1
Environmental Technology & Innovation,Q1
European Journal of Internal Medicine,Q1
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,Q1
Annual Review of Vision Science,Q1
BIODRUGS,Q1
PHYTOCHEMISTRY REVIEWS,Q1
"ACTA PSYCHIATRICA SCANDINAVICA
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE",Q1
EuroIntervention,Q1
OncoImmunology,Q1
"JOURNAL OF THE AMERICAN SOCIETY OF
ECHOCARDIOGRAPHY",Q1
CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES,Q1
CORROSION SCIENCE,Q1
"Circulation-Arrhythmia and
Electrophysiology",Q1
BIOLOGICAL PROCEDURES ONLINE,Q1
Current Neuropharmacology,Q1
Journal of Occupational Health Psychology,Q1
Gastric Cancer,Q1
"IEEE Journal of Selected Topics in Signal
Processing",Q1
CONSTRUCTION AND BUILDING,Q1
MATERIALS,Q1
Tourism Review,Q1
"COMPOSITES COMMUNICATIONS
Antioxidants",Q1
International Journal of Applied Earth Observation and Geoinformation,Q1
"International Journal of Mining Science
and Technology",Q1
Biotechnology for Biofuels,Q1
"Cells
Current Opinion in Electrochemistry",Q2
Journal of Global Health,Q1
GigaScience,Q1
Stem Cells Translational Medicine,Q1
"Alcohol Research-Current Reviews JOURNAL OF ENVIRONMENTAL
PSYCHOLOGY",Q1
MEDICAL EDUCATION,Q1
CLINICAL NUTRITION,Q1
Blood Advances,Q1
"BIOLOGICAL RESEARCH
Advanced Electronic Materials",Q1
Sustainable Energy Technologies and Assessments,Q2
TRANSPORTATION RESEARCH PART B-,Q1
"METHODOLOGICAL
Journal of Hospitality and Tourism Management",Q1
Computers and Concrete,Q1
"OBSTETRICS AND GYNECOLOGY EXPERT REVIEWS IN MOLECULAR
MEDICINE",Q1
Materials Today Chemistry,Q1
BRAIN PATHOLOGY,Q1
"International Journal of Educational
Technology in Higher Education",Q1
Tourism Management Perspectives,Q1
PROGRESS IN HUMAN GEOGRAPHY,Q1
"JOURNAL OF UROLOGY
Qualitative Research in Sport Exercise",Q1
and Health,Q1
Biomaterials Science,Q1
"JOURNAL OF INVESTIGATIVE
DERMATOLOGY",Q1
GENERAL HOSPITAL PSYCHIATRY,Q1
Learning Media and Technology,Q1
CURRENT OPINION IN MICROBIOLOGY,Q1
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,Q1
GeroScience,Q1
Current Issues in Tourism,Q2
"Acta Neuropathologica Communications
ENERGY POLICY",Q1
"Family Business Review
JOURNAL OF NETWORK AND COMPUTER",Q2
APPLICATIONS,Q1
Journal of Materials Chemistry B,Q1
CONSERVATION BIOLOGY,Q1
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,Q1
"JOURNAL OF THE AMERICAN GERIATRICS
SOCIETY",Q1
Journal of Infection and Public Health,Q1
Journal of Physics-Energy,Q1
Cell Communication and Signaling,Q2
Acta Physiologica,Q1
"Applied Psychology-Health and Well
Being",Q1
Journal of Intensive Care,Q1
npj Breast Cancer,Q1
LAB ON A CHIP,Q1
Circulation-Cardiovascular Interventions,Q1
PRX Quantum,Q1
JOURNAL OF ABNORMAL PSYCHOLOGY,Q1
"OSTEOARTHRITIS AND CARTILAGE
Reviews of Physiology Biochemistry and",Q1
Pharmacology,Q1
People and Nature,Q1
MODERN LANGUAGE JOURNAL,Q1
"SEMINARS IN CELL & DEVELOPMENTAL
BIOLOGY",Q1
BIOLOGICAL CONSERVATION,Q1
"Child and Adolescent Psychiatry and
Mental Health",Q1
"Progress of Theoretical and Experimental
Physics",Q1
FERTILITY AND STERILITY,Q1
"Geoscience Frontiers International Soil and Water
Conservation Research",Q1
ALLERGOLOGY INTERNATIONAL INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY,Q1
JOURNAL OF CLINICAL PERIODONTOLOGY,Q1
ANTIOXIDANTS & REDOX SIGNALING,Q1
INFORMATION PROCESSING & MANAGEMENT,Q1
"Circulation-Genomic and Precision
Medicine",Q1
PLoS Pathogens,Q1
RUSSIAN CHEMICAL REVIEWS,Q1
INFECTION,Q1
BRITISH JOURNAL OF MANAGEMENT,Q1
Molecular Oncology,Q1
SCIENCE COMMUNICATION,Q1
"QUARTERLY REVIEWS OF BIOPHYSICS
Journal of Computer-Mediated Communication",Q1
Wiley Interdisciplinary Reviews-Water,Q1
"FOOD RESEARCH INTERNATIONAL
International Review of Sport and Exercise Psychology",Q1
International Journal of Bioprinting,Q1
GEODERMA,Q1
COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,Q1
BIOMEDICINE & PHARMACOTHERAPY,Q1
BMJ Quality & Safety,Q1
CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,Q1
JOURNAL OF CLINICAL EPIDEMIOLOGY,Q1
ACM TRANSACTIONS ON GRAPHICS,Q1
INTERNATIONAL JOURNAL OF HYGIENE,Q1
AND ENVIRONMENTAL HEALTH,Q1
"FISH AND FISHERIES
Journal of Organizational and End User",Q1
"Computing
NEUROIMAGE",Q1
"Global Strategy Journal
APPLIED SURFACE SCIENCE",Q1
"CRITICAL REVIEWS IN MICROBIOLOGY
Journal of Science-Advanced Materials and Devices",Q1
MOLECULAR & CELLULAR PROTEOMICS,Q1
Tissue Engineering Part B-Reviews,Q1
SOIL & TILLAGE RESEARCH,Q1
HEART,Q1
BMC BIOLOGY,Q1
WORK AND STRESS,Q1
SCHIZOPHRENIA BULLETIN,Q1
Emotion Review,Q1
Journal of Water Process Engineering,Q1
Diabetes Technology & Therapeutics,Q1
ELECTROCHIMICA ACTA,Q1
BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY,Q1
IEEE TRANSACTIONS ON POWER SYSTEMS,Q1
mSystems,Q1
INTERNATIONAL JOURNAL OF CANCER,Q1
Oxidative Medicine and Cellular Longevity,Q2
Future Generation Computer Systems- The International Journal of eScience,Q1
SOLAR ENERGY MATERIALS AND SOLAR,Q1
CELLS,Q1
"Review of Research in Education
Advanced Intelligent Systems",Q1
JOURNAL OF EXPERIMENTAL BOTANY,Q1
Stem Cell Reports,Q2
"JOURNAL OF ACCOUNTING &
ECONOMICS",Q1
Horticulture Research,Q1
"INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS
MANAGEMENT",Q1
"INFLAMMATORY BOWEL DISEASES
Communications Earth & Environment",Q1
"Wiley Interdisciplinary Reviews-Systems
Biology and Medicine",Q1
Journal of Neuroimmune Pharmacology,Q1
NUKLEONIKA,Q4
Journal of Legal Analysis,Q3
OXFORD ECONOMIC PAPERS-NEW SERIES,Q4
"Journal of Applied Fluid Mechanics
JOURNAL OF MATHEMATICAL",Q4
SOCIOLOGY,Q4
TURKISH JOURNAL OF CHEMISTRY,Q4
OPERATIONS RESEARCH LETTERS,Q4
JOURNAL OF AUTOMATED REASONING,Q4
Grundwasser,Q4
"IET Software
RUSSIAN JOURNAL OF NUMERICAL
ANALYSIS AND MATHEMATICAL MODELLING",Q4
Journal of Media Ethics,Q3
Human Rights Law Review,Q3
"International Journal of Nursing
Knowledge",Q4
Quality Management in Health Care,Q4
ETHOS,Q3
"JOURNAL OF THE AMERICAN ANIMAL
HOSPITAL ASSOCIATION",Q3
"IMA JOURNAL OF APPLIED
MATHEMATICS",Q3
Hellenic Journal of Nuclear Medicine,Q4
ACTA CHIROPTEROLOGICA,Q3
QUIMICA NOVA,Q4
Journal of Mathematical Inequalities,Q2
Economia Politica,Q4
Undersea and Hyperbaric Medicine,Q4
FLY,Q4
Clinical Nurse Specialist,Q4
Austrian Journal of Forest Science,Q4
Advances in Physical Organic Chemistry,Q4
Bangladesh Journal of Pharmacology,Q4
"REVISTA DE LA FACULTAD DE CIENCIAS
AGRARIAS",Q3
"JOURNAL OF INFORMATION SCIENCE
AND ENGINEERING",Q4
GEOTECTONICS,Q4
Mathematical Control and Related Fields,Q2
"Revista de Nutricao-Brazilian Journal of
Nutrition",Q4
Brain Impairment,Q4
Journal of Internet Technology,Q4
ETHOLOGY ECOLOGY & EVOLUTION,Q3
Erdkunde,Q4
ANNALS OF GEOPHYSICS,Q4
Journal of Official Statistics,Q3
ZOOMORPHOLOGY,Q3
Journal of Food and Nutrition Research,Q4
JOURNAL OF MODERN AFRICAN STUDIES,Q2
Asia-Pacific Journal of Accounting & Economics,Q4
CLINICAL NEUROPATHOLOGY,Q4
ARMED FORCES & SOCIETY,Q4
ELECTRONIC JOURNAL OF PROBABILITY,Q3
Russian Geology and Geophysics,Q4
Global NEST Journal,Q4
ATOMIZATION AND SPRAYS,Q4
TEACHERS COLLEGE RECORD,Q4
PLASMA PHYSICS REPORTS,Q4
Geochronometria,Q4
ORGANIZATIONAL DYNAMICS,Q4
Revista Brasileira de Fruticultura,Q3
MIDDLE EAST JOURNAL,Q2
JOURNAL D ANALYSE MATHEMATIQUE,Q2
ACSMS HEALTH & FITNESS JOURNAL,Q4
INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES,Q3
EUROPEAN JOURNAL OF ENTOMOLOGY,Q3
ANATOMIA HISTOLOGIA EMBRYOLOGIA,Q3
"Electronic Journal of Differential
Equations",Q2
"JOURNAL OF COMPUTATIONAL
MATHEMATICS",Q2
"JOURNAL OF VISUAL IMPAIRMENT &
BLINDNESS",Q4
EQUINE VETERINARY EDUCATION,Q3
"SOCIOLOGICAL SPECTRUM
Pigment & Resin Technology",Q4
"JOURNAL OF NUCLEAR SCIENCE AND
TECHNOLOGY",Q4
