NATURE REVIEWS GENETICS,GENETICS & HEREDITY - SCIE(Q1),,
"Psychological Science in the Public
Interest","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q1)",,
LANCET ONCOLOGY,ONCOLOGY - SCIE(Q1),,
ANNALS OF ONCOLOGY,ONCOLOGY - SCIE(Q1),,
ANNALS OF INTERNAL MEDICINE,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",,
JOURNAL OF CLINICAL ONCOLOGY,ONCOLOGY - SCIE(Q1),,
REVIEWS OF MODERN PHYSICS,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)",,
CLINICAL MICROBIOLOGY REVIEWS,MICROBIOLOGY - SCIE(Q1),,
Nature Reviews Cardiology,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),,
PROGRESS IN MATERIALS SCIENCE,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",,
"NATURE METHODS
NATURE MATERIALS","BIOCHEMICAL RESEARCH METHODS - SCIE(Q1) CHEMISTRY, PHYSICAL - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1); PHYSICS, CONDENSED MATTER - SCIE(Q1);
MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",,
Nature Reviews Endocrinology,ENDOCRINOLOGY & METABOLISM - SCIE(Q1),,
PHYSIOLOGICAL REVIEWS,PHYSIOLOGY - SCIE(Q1),,
"CELL RESEARCH
Joule","CELL BIOLOGY - SCIE(Q1)
ENERGY & FUELS - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",,
Lancet Gastroenterology & Hepatology,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),,
Lancet Diabetes & Endocrinology,ENDOCRINOLOGY & METABOLISM - SCIE(Q1),,
Nature Reviews Neurology,CLINICAL NEUROLOGY - SCIE(Q1),,
JAMA Internal Medicine,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",,
IMMUNITY,IMMUNOLOGY - SCIE(Q1),,
Living Reviews in Relativity,"PHYSICS, PARTICLES & FIELDS - SCIE(Q1)",,
Nature Reviews Nephrology,UROLOGY & NEPHROLOGY - SCIE(Q1),,
INTENSIVE CARE MEDICINE,CRITICAL CARE MEDICINE - SCIE(Q1),,
Molecular Cancer,"ONCOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR
BIOLOGY - SCIE(Q1)",,
NATURE GENETICS,GENETICS & HEREDITY - SCIE(Q1),,
Nature Catalysis,"CHEMISTRY, PHYSICAL - SCIE(Q1)",,
Nature Nanotechnology,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1);
NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1)",,
CIRCULATION,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1);
PERIPHERAL VASCULAR DISEASE - SCIE(Q1)",,
"Nature Photonics
Energy & Environmental Science","OPTICS - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1) ENGINEERING, CHEMICAL - SCIE(Q1); CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1); ENVIRONMENTAL SCIENCES -
SCIE(Q1); ENERGY & FUELS - SCIE(Q1)",,
JOURNAL OF TRAVEL MEDICINE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); MEDICINE, GENERAL & INTERNAL - SCIE(Q1);
INFECTIOUS DISEASES - SCIE(Q1)",,
Lancet Global Health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH -
SCIE(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1)",,
NATURE REVIEWS NEUROSCIENCE,NEUROSCIENCES - SCIE(Q1),,
JOURNAL OF INFECTION,INFECTIOUS DISEASES - SCIE(Q1),,
CANCER CELL,ONCOLOGY - SCIE(Q1); CELL BIOLOGY - SCIE(Q1),,
"Cancer Discovery
Signal Transduction and Targeted Therapy","ONCOLOGY - SCIE(Q1)
CELL BIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1)",,
Cell Discovery,CELL BIOLOGY - SCIE(Q1),,
Lancet Child & Adolescent Health,PEDIATRICS - SCIE(Q1),,
Journal of Public Transportation,TRANSPORTATION - SSCI(Q1),,
"Annual Review of Astronomy and
Astrophysics",ASTRONOMY & ASTROPHYSICS - SCIE(Q1),,
Nature Reviews Earth & Environment,"ENVIRONMENTAL SCIENCES - SCIE(Q1); GEOSCIENCES,
MULTIDISCIPLINARY - SCIE(Q1)",,
Lancet Digital Health,"MEDICAL INFORMATICS - SCIE(Q1); MEDICINE, GENERAL &
INTERNAL - SCIE(Q1)",,
MMWR Recommendations and Reports,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH -
SCIE(Q1)",,
Nature Reviews Physics,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, APPLIED -
SCIE(Q1)",,
EUROPEAN HEART JOURNAL,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),,
"ASTRONOMY AND ASTROPHYSICS
REVIEW",ASTRONOMY & ASTROPHYSICS - SCIE(Q1),,
"Lancet Rheumatology
PROGRESS IN ENERGY AND COMBUSTION","RHEUMATOLOGY - SCIE(Q1)
THERMODYNAMICS - SCIE(Q1); ENGINEERING, MECHANICAL -
SCIE(Q1); ENERGY & FUELS - SCIE(Q1); ENGINEERING,",,
"SCIENCE
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT","CHEMICAL - SCIE(Q1)
PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)",,
Military Medical Research,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",,
Nature Reviews Chemistry,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",,
"GASTROENTEROLOGY
IEEE Communications Surveys and Tutorials","GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1)
TELECOMMUNICATIONS - SCIE(Q1); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q1)",,
"EUROPEAN RESPIRATORY JOURNAL
MATERIALS SCIENCE & ENGINEERING R- REPORTS","RESPIRATORY SYSTEM - SCIE(Q1)
MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1)",,
Nature Electronics,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1)",,
JAMA Oncology,ONCOLOGY - SCIE(Q1),,
Electrochemical Energy Reviews,ELECTROCHEMISTRY - SCIE(Q1),,
Annual Review of Immunology,IMMUNOLOGY - SCIE(Q1),,
"Annual Review of Pathology-Mechanisms
of Disease",PATHOLOGY - SCIE(Q1),,
"Nature Reviews Rheumatology
ADVANCED MATERIALS","RHEUMATOLOGY - SCIE(Q1)
CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1); PHYSICS, CONDENSED MATTER - SCIE(Q1); NANOSCIENCE &
NANOTECHNOLOGY - SCIE(Q1)",,
GUT,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),,
Cell Metabolism,"CELL BIOLOGY - SCIE(Q1); ENDOCRINOLOGY & METABOLISM -
SCIE(Q1)",,
Cell Host & Microbe,"VIROLOGY - SCIE(Q1); PARASITOLOGY - SCIE(Q1);
MICROBIOLOGY - SCIE(Q1)",,
PROGRESS IN POLYMER SCIENCE,POLYMER SCIENCE - SCIE(Q1),,
NATURE IMMUNOLOGY,IMMUNOLOGY - SCIE(Q1),,
Nature Microbiology,MICROBIOLOGY - SCIE(Q1),,
Science Immunology,IMMUNOLOGY - SCIE(Q1),,
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,RESPIRATORY SYSTEM - SCIE(Q1); CRITICAL CARE MEDICINE - SCIE(Q1),,
"PHYSICS REPORTS-REVIEW SECTION OF
PHYSICS LETTERS","PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)",,
JAMA Cardiology,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),,
Lancet Haematology,HEMATOLOGY - SCIE(Q1),,
JOURNAL OF HEPATOLOGY,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),,
JAMA Neurology,CLINICAL NEUROLOGY - SCIE(Q1),,
,"CHEMISTRY, PHYSICAL - SCIE(Q1); ENERGY & FUELS -
SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, CONDENSED MATTER - SCIE(Q1);",,
Advanced Energy Materials,"PHYSICS, APPLIED - SCIE(Q1)",,
Nature Biomedical Engineering,"ENGINEERING, BIOMEDICAL - SCIE(Q1)",,
RADIOLOGY,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING -
SCIE(Q1)",,
MMWR Surveillance Summaries,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH -
SCIE(Q1)",,
NATURE NEUROSCIENCE,NEUROSCIENCES - SCIE(Q1),,
Lancet Planetary Health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1)",,
"Living Reviews in Solar Physics
Nature Climate Change","ASTRONOMY & ASTROPHYSICS - SCIE(Q1) ENVIRONMENTAL STUDIES - SSCI(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1); METEOROLOGY & ATMOSPHERIC
SCIENCES - SCIE(Q1)",,
Annual Review of Plant Biology,PLANT SCIENCES - SCIE(Q1),,
NATURE CELL BIOLOGY,CELL BIOLOGY - SCIE(Q1),,
ANNALS OF THE RHEUMATIC DISEASES,RHEUMATOLOGY - SCIE(Q1),,
Annual Review of Psychology,"PSYCHOLOGY - SCIE(Q1); PSYCHOLOGY, MULTIDISCIPLINARY -
SSCI(Q1)",,
Science Robotics,ROBOTICS - SCIE(Q1),,
Annual Review of Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),,
"JOURNAL OF THE AMERICAN COLLEGE OF
CARDIOLOGY",CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),,
Nature Sustainability,"ENVIRONMENTAL STUDIES - SSCI(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1); GREEN & SUSTAINABLE SCIENCE &
TECHNOLOGY - SSCI(Q1)",,
Dialogues in Human Geography,GEOGRAPHY - SSCI(Q1),,
Materials Today,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",,
JAMA Pediatrics,PEDIATRICS - SCIE(Q1),,
"JAMA Psychiatry
Nature Machine Intelligence","PSYCHIATRY - SCIE(Q1); PSYCHIATRY - SSCI(Q1) COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q1); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE -
SCIE(Q1)",,
Chem,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",,
STUDIES IN MYCOLOGY,MYCOLOGY - SCIE(Q1),,
PSYCHOTHERAPY AND PSYCHOSOMATICS,"PSYCHIATRY - SCIE(Q1); PSYCHOLOGY - SCIE(Q1);
PSYCHIATRY - SSCI(Q1)",,
BLOOD,HEMATOLOGY - SCIE(Q1),,
Annual Review of Fluid Mechanics,"MECHANICS - SCIE(Q1); PHYSICS, FLUIDS & PLASMAS -
SCIE(Q1)",,
Cell Stem Cell,"CELL BIOLOGY - SCIE(Q1); CELL & TISSUE ENGINEERING -
SCIE(Q1)",,
ENDOCRINE REVIEWS,ENDOCRINOLOGY & METABOLISM - SCIE(Q1),,
REVIEWS OF GEOPHYSICS,GEOCHEMISTRY & GEOPHYSICS - SCIE(Q1),,
FUNGAL DIVERSITY,MYCOLOGY - SCIE(Q1),,
International Journal of Oral Science,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE(Q1)",,
COORDINATION CHEMISTRY REVIEWS,"CHEMISTRY, INORGANIC & NUCLEAR - SCIE(Q1)",,
InfoMat,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",,
Advances in Optics and Photonics,OPTICS - SCIE(Q1),,
TRENDS IN COGNITIVE SCIENCES,"NEUROSCIENCES - SCIE(Q1); PSYCHOLOGY, EXPERIMENTAL - SSCI(Q1); BEHAVIORAL SCIENCES - SCIE(Q1)",,
ACCOUNTS OF CHEMICAL RESEARCH,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",,
APPLIED CATALYSIS B-ENVIRONMENTAL,"CHEMISTRY, PHYSICAL - SCIE(Q1); ENGINEERING, CHEMICAL - SCIE(Q1); ENGINEERING, ENVIRONMENTAL - SCIE(Q1)",,
IEEE TRANSACTIONS ON PATTERN,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1);",,
ANALYSIS AND MACHINE INTELLIGENCE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q1)",,
Nature Chemistry,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",,
EUROPEAN UROLOGY,UROLOGY & NEPHROLOGY - SCIE(Q1),,
Nature Human Behaviour,"MULTIDISCIPLINARY SCIENCES - SCIE(Q1); PSYCHOLOGY, EXPERIMENTAL - SSCI(Q1); NEUROSCIENCES - SCIE(Q1)",,
ACS Energy Letters,"ELECTROCHEMISTRY - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); CHEMISTRY, PHYSICAL -
SCIE(Q1); ENERGY & FUELS - SCIE(Q1)",,
"Annual Review of Condensed Matter
Physics","PHYSICS, CONDENSED MATTER - SCIE(Q1)",,
"ADVANCES IN PHYSICS
Nano-Micro Letters","PHYSICS, CONDENSED MATTER - SCIE(Q1) MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1);
NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); PHYSICS,
APPLIED - SCIE(Q1)",,
CIRCULATION RESEARCH,"HEMATOLOGY - SCIE(Q1); PERIPHERAL VASCULAR DISEASE -
SCIE(Q1); CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1)",,
National Science Review,MULTIDISCIPLINARY SCIENCES - SCIE(Q1),,
Nature Cancer,ONCOLOGY - SCIE(Q1),,
Journal of Hematology & Oncology,HEMATOLOGY - SCIE(Q1); ONCOLOGY - SCIE(Q1),,
PSYCHOLOGICAL BULLETIN,"PSYCHOLOGY - SCIE(Q1); PSYCHOLOGY, MULTIDISCIPLINARY -
SSCI(Q1)",,
DRUG RESISTANCE UPDATES,PHARMACOLOGY & PHARMACY - SCIE(Q1),,
Annual Review of Entomology,ENTOMOLOGY - SCIE(Q1),,
Trends in Chemistry,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",,
Annual Review of Physiology,PHYSIOLOGY - SCIE(Q1),,
Annual Review of Clinical Psychology,"PSYCHOLOGY - SCIE(Q1); PSYCHOLOGY, CLINICAL - SSCI(Q1)",,
Cellular & Molecular Immunology,IMMUNOLOGY - SCIE(Q1),,
TRENDS IN PLANT SCIENCE,PLANT SCIENCES - SCIE(Q1),,
Molecular Plant,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1); PLANT SCIENCES - SCIE(Q1),,
"TRENDS IN BIOTECHNOLOGY
Annual Review of Public Health","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q1) PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1)",,
Carbon Energy,"CHEMISTRY, PHYSICAL - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); ENERGY & FUELS - SCIE(Q1)",,
Nature Geoscience,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q1)",,
BEHAVIORAL AND BRAIN SCIENCES,"NEUROSCIENCES - SCIE(Q1); BEHAVIORAL SCIENCES -
SCIE(Q1); PSYCHOLOGY, BIOLOGICAL - SSCI(Q1)",,
Eurosurveillance,INFECTIOUS DISEASES - SCIE(Q1),,
TRENDS IN CELL BIOLOGY,CELL BIOLOGY - SCIE(Q1),,
CLINICAL INFECTIOUS DISEASES,"IMMUNOLOGY - SCIE(Q1); INFECTIOUS DISEASES - SCIE(Q1);
MICROBIOLOGY - SCIE(Q1)",,
Energy Storage Materials,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1); NANOSCIENCE &
NANOTECHNOLOGY - SCIE(Q1)",,
JOURNAL OF MEDICAL VIROLOGY,VIROLOGY - SCIE(Q1),,
TRENDS IN ECOLOGY & EVOLUTION,"EVOLUTIONARY BIOLOGY - SCIE(Q1); GENETICS & HEREDITY -
SCIE(Q1); ECOLOGY - SCIE(Q1)",,
Science Bulletin,MULTIDISCIPLINARY SCIENCES - SCIE(Q1),,
Travel Medicine and Infectious Disease,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH -
SCIE(Q1); INFECTIOUS DISEASES - SCIE(Q1)",,
Nature Food,FOOD SCIENCE & TECHNOLOGY - SCIE(Q1),,
Light-Science & Applications,OPTICS - SCIE(Q1),,
Journal of Thoracic Oncology,ONCOLOGY - SCIE(Q1); RESPIRATORY SYSTEM - SCIE(Q1),,
Matter,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",,
ADVANCED FUNCTIONAL MATERIALS,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, CONDENSED MATTER - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1); CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1)",,
Nature Metabolism,ENDOCRINOLOGY & METABOLISM - SCIE(Q1),,
PhotoniX,OPTICS - SCIE(Q1),,
Annual Review of Biophysics,BIOPHYSICS - SCIE(Q1),,
TRENDS IN IMMUNOLOGY,IMMUNOLOGY - SCIE(Q1),,
"PROGRESS IN RETINAL AND EYE
RESEARCH",OPHTHALMOLOGY - SCIE(Q1),,
Nature Physics,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)",,
Emerging Microbes & Infections,"MICROBIOLOGY - SCIE(Q1); INFECTIOUS DISEASES - SCIE(Q1);
IMMUNOLOGY - SCIE(Q1)",,
Applied Physics Reviews,"PHYSICS, APPLIED - SCIE(Q1)",,
JOURNAL OF CLINICAL INVESTIGATION,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1)",,
CRITICAL CARE,CRITICAL CARE MEDICINE - SCIE(Q1),,
MOLECULAR CELL,"CELL BIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR
BIOLOGY - SCIE(Q1)",,
Science Translational Medicine,"CELL BIOLOGY - SCIE(Q1); MEDICINE, RESEARCH &
EXPERIMENTAL - SCIE(Q1)",,
AMERICAN JOURNAL OF PSYCHIATRY,PSYCHIATRY - SSCI(Q1); PSYCHIATRY - SCIE(Q1),,
Academy of Management Annals,MANAGEMENT - SSCI(Q1); BUSINESS - SSCI(Q1),,
BRAIN BEHAVIOR AND IMMUNITY,"NEUROSCIENCES - SCIE(Q1); IMMUNOLOGY - SCIE(Q1);
PSYCHIATRY - SCIE(Q1)",,
Trends in Cancer,ONCOLOGY - SCIE(Q1),,
NUCLEIC ACIDS RESEARCH,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),,
IEEE Transactions on Cybernetics,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q1); COMPUTER SCIENCE, CYBERNETICS - SCIE(Q1); AUTOMATION & CONTROL SYSTEMS - SCIE(Q1)",,
,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE -
SCIE(Q4); COMPUTER SCIENCE, SOFTWARE ENGINEERING -",,
ACM Transactions on Storage,SCIE(Q4),,
Diving and Hyperbaric Medicine,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH -
SCIE(Q4)",,
General Thoracic and Cardiovascular,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q4); SURGERY,,
Surgery,- SCIE(Q4),,
ANIMAL BIOLOGY,ZOOLOGY - SCIE(Q3),,
INTERNATIONAL INTERACTIONS,INTERNATIONAL RELATIONS - SSCI(Q3),,
Holistic Nursing Practice,NURSING - SCIE(Q4); INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE(Q4); NURSING - SSCI(Q4),,
JOURNAL OF OBSTETRICS AND GYNAECOLOGY,OBSTETRICS & GYNECOLOGY - SCIE(Q4),,
Iranian Journal of Veterinary Research,VETERINARY SCIENCES - SCIE(Q3),,
EAST EUROPEAN POLITICS AND SOCIETIES,AREA STUDIES - SSCI(Q2); POLITICAL SCIENCE - SSCI(Q3),,
Electronic Journal of Statistics,STATISTICS & PROBABILITY - SCIE(Q3),,
JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,"STATISTICS & PROBABILITY - SCIE(Q3); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q4)",,
AUSTRALIAN JOURNAL OF CHEMISTRY,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q4)",,
ICHTHYOLOGICAL RESEARCH,"ZOOLOGY - SCIE(Q3); FISHERIES - SCIE(Q4); MARINE &
FRESHWATER BIOLOGY - SCIE(Q4)",,
Seminars in Vascular Surgery,"SURGERY - SCIE(Q4); PERIPHERAL VASCULAR DISEASE -
SCIE(Q4)",,
Wound Management & Prevention,"NURSING - SCIE(Q4); DERMATOLOGY - SCIE(Q4); NURSING -
SSCI(Q4)",,
JOURNAL OF APPLIED ICHTHYOLOGY,"FISHERIES - SCIE(Q4); MARINE & FRESHWATER BIOLOGY -
SCIE(Q4)",,
Biodemography and Social Biology,"SOCIOLOGY - SSCI(Q3); SOCIAL SCIENCES, BIOMEDICAL -
SSCI(Q4); DEMOGRAPHY - SSCI(Q4)",,
Interpreter and Translator Trainer,"LANGUAGE & LINGUISTICS - AHCI(N/A); LINGUISTICS -
SSCI(Q3)",,
ZEITSCHRIFT FUR ANALYSIS UND IHRE,"MATHEMATICS - SCIE(Q2); MATHEMATICS, APPLIED -",,
ANWENDUNGEN,SCIE(Q3),,
Law & Policy,LAW - SSCI(Q3),,
AERONAUTICAL JOURNAL,"ENGINEERING, AEROSPACE - SCIE(Q4)",,
Journal of Arthropod-Borne Diseases,"PARASITOLOGY - SCIE(Q4); PUBLIC, ENVIRONMENTAL &
OCCUPATIONAL HEALTH - SCIE(Q4)",,
Miskolc Mathematical Notes,MATHEMATICS - SCIE(Q2),,
"Revista Brasileira de Engenharia Agricola
e Ambiental",AGRICULTURAL ENGINEERING - SCIE(Q4),,
URSUS,ZOOLOGY - SCIE(Q3),,
"Review of Keynesian Economics
Mathematics and Financial Economics","ECONOMICS - SSCI(Q4)
SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI(Q4); MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE(Q4); BUSINESS, FINANCE - SSCI(Q4); ECONOMICS -
SSCI(Q4)",,
BULLETIN OF THE CHEMICAL SOCIETY OF ETHIOPIA,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q4)",,
Pediatric Endocrinology Reviews PER,ENDOCRINOLOGY & METABOLISM - SCIE(Q4),,
JOURNAL OF SHELLFISH RESEARCH,"FISHERIES - SCIE(Q4); MARINE & FRESHWATER BIOLOGY -
SCIE(Q4)",,
"JOURNAL OF GENERAL PLANT
PATHOLOGY",PLANT SCIENCES - SCIE(Q4),,
Advances in Cognitive Psychology,"PSYCHOLOGY, EXPERIMENTAL - SSCI(Q4)",,
Iranian Journal of Parasitology,PARASITOLOGY - SCIE(Q4),,
Revista de Educacion,EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q4),,
Cancer Radiotherapie,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING -
SCIE(Q4); ONCOLOGY - SCIE(Q4)",,
